IMG\center_2025_04_13_12_16_39_942.jpg,IMG\left_2025_04_13_12_16_39_942.jpg,IMG\right_2025_04_13_12_16_39_942.jpg,0,0,0,1.030984E-05
IMG\center_2025_04_13_12_16_40_008.jpg,IMG\left_2025_04_13_12_16_40_008.jpg,IMG\right_2025_04_13_12_16_40_008.jpg,0,0,0,1.065129E-05
IMG\center_2025_04_13_12_16_40_078.jpg,IMG\left_2025_04_13_12_16_40_078.jpg,IMG\right_2025_04_13_12_16_40_078.jpg,0,0,0,2.192436E-05
IMG\center_2025_04_13_12_16_40_153.jpg,IMG\left_2025_04_13_12_16_40_153.jpg,IMG\right_2025_04_13_12_16_40_153.jpg,0,0,0,1.237812E-05
IMG\center_2025_04_13_12_16_40_229.jpg,IMG\left_2025_04_13_12_16_40_229.jpg,IMG\right_2025_04_13_12_16_40_229.jpg,0,0,0,4.925518E-06
IMG\center_2025_04_13_12_16_40_307.jpg,IMG\left_2025_04_13_12_16_40_307.jpg,IMG\right_2025_04_13_12_16_40_307.jpg,0,0.0698466,0,0.02418408
IMG\center_2025_04_13_12_16_40_380.jpg,IMG\left_2025_04_13_12_16_40_380.jpg,IMG\right_2025_04_13_12_16_40_380.jpg,0,0.3007614,0,0.2031126
IMG\center_2025_04_13_12_16_40_457.jpg,IMG\left_2025_04_13_12_16_40_457.jpg,IMG\right_2025_04_13_12_16_40_457.jpg,-0.2,0.5678847,0,0.6561243
IMG\center_2025_04_13_12_16_40_533.jpg,IMG\left_2025_04_13_12_16_40_533.jpg,IMG\right_2025_04_13_12_16_40_533.jpg,-0.4,0.7949796,0,1.292345
IMG\center_2025_04_13_12_16_40_609.jpg,IMG\left_2025_04_13_12_16_40_609.jpg,IMG\right_2025_04_13_12_16_40_609.jpg,-0.6000001,1,0,2.191766
IMG\center_2025_04_13_12_16_40_685.jpg,IMG\left_2025_04_13_12_16_40_685.jpg,IMG\right_2025_04_13_12_16_40_685.jpg,0,1,0,2.88077
IMG\center_2025_04_13_12_16_40_760.jpg,IMG\left_2025_04_13_12_16_40_760.jpg,IMG\right_2025_04_13_12_16_40_760.jpg,0,1,0,3.820581
IMG\center_2025_04_13_12_16_40_838.jpg,IMG\left_2025_04_13_12_16_40_838.jpg,IMG\right_2025_04_13_12_16_40_838.jpg,-0.2,1,0,4.750616
IMG\center_2025_04_13_12_16_40_913.jpg,IMG\left_2025_04_13_12_16_40_913.jpg,IMG\right_2025_04_13_12_16_40_913.jpg,0,1,0,5.670574
IMG\center_2025_04_13_12_16_40_988.jpg,IMG\left_2025_04_13_12_16_40_988.jpg,IMG\right_2025_04_13_12_16_40_988.jpg,-0.05,1,0,6.590564
IMG\center_2025_04_13_12_16_41_065.jpg,IMG\left_2025_04_13_12_16_41_065.jpg,IMG\right_2025_04_13_12_16_41_065.jpg,-0.2,1,0,7.268592
IMG\center_2025_04_13_12_16_41_140.jpg,IMG\left_2025_04_13_12_16_41_140.jpg,IMG\right_2025_04_13_12_16_41_140.jpg,0,1,0,8.150219
